id,year,mode,language,finweigh,general,stpvnbrd,swcndnbrd,cityligh,wtrswr,water,sewer,swclnbrd,stclnbrd,stswc,recparsy,parkvis,athfield,recpart,parkfa,recpract,parkgr,parklp,parkcl,libsystm,libmai,libbra,libonlin,libbo,onlibsvc,netlibsvc,libsta,conmalib,connelib,trspwlk,trsppub,trspbike,trsptaxi,trspdaln,trspcpl,trspptns,trspuber,munovr,mun12mth,muntim,muncle,munsaf,munmgmtcro,muncou,safdnb,safnnb,hrd311,cont311,use311sv,info311,infowebm,svc311,svcwebmo,phone311,web311,kids,k0to5,k6to18,kprisch,kpubsch,knosch,kqschl,dhouse,ownrenhm,dlivedsf,movesf,dincome,dage,gender,dsexornt,dethnic,primlang_1,primlang_2,primlang_3,primlang_4,deduc,disablephys,disablement,zipcode,district,mixed_1,mixed_2,mixed_3,mixed_4,issue1,issue2,issue3
201711558,2017,1,1,0.707617998,4,4,4,4,,4,4,,,4,4,3,5,2,,,,4,5,5,2,4,4,5,5,5,5,4,5,,,,,,,,,4,1,4,4,4,4,5,5,4,2,,,,,,,,,2,,,,,,,2,1,6,4,6,7,2,3,2,1,,,,4,2,2,94127,7,,,,,100,,
201711559,2017,1,1,0.933275998,4,,,,,,,,,,4,4,3,2,,,,4,5,4,2,2,1,5,,4,5,3,4,5,6,1,2,2,2,1,4,4,1,3,3,5,4,4,,,1,1,2,,,,,,4,2,,,,,,,2,2,4,3,6,3,2,3,2,1,,,,4,2,2,94121,1,,,,,402,403,
201711560,2017,1,1,0.707617998,4,3,5,5,,5,5,,,3,4,3,7,2,,,,2,4,5,1,2,2,4,3,6,5,,5,,,,,,,,,3,1,3,4,5,6,7,,,1,2,1,,,,,5,,2,,,,,,,1,1,5,4,5,7,1,2,4,1,,,,4,2,2,94117,8,,,,,100,,
201711561,2017,1,1,1.779706955,5,3,4,5,,5,5,,,3,5,5,5,2,,,,5,4,5,2,4,1,5,,4,5,5,5,,,,,,,,,4,1,4,3,5,2,4,5,4,1,1,1,,,,,,,1,2,1,2,1,2,5,5,1,4,4,4,2,1,3,2,2,,,,4,2,2,94134,10,,,,,100,102,
201711562,2017,1,1,0.707617998,4,4,3,5,,4,3,,,4,5,4,7,2,,,,3,4,4,1,3,2,4,6,6,5,,5,,,,,,,,,4,1,3,4,3,6,3,5,3,1,2,1,,,,,5,,2,,,,,,,1,1,6,3,5,7,2,3,4,1,,,,4,1,2,94127,7,,,,,401,,
201711563,2017,1,1,1.779706955,4,,,,,,,,,,5,3,5,2,,,,5,5,5,2,2,2,5,4,4,5,5,5,5,6,2,1,5,3,1,1,4,1,3,4,4,4,4,,,1,1,1,,,,,,,2,,,,,,,3,2,3,3,1,2,1,3,2,2,,,,4,2,2,94122,4,,,,,800,802,
201711564,2017,1,4,0.790762007,4,,,,,,,,,,7,1,,2,,,,,,5,1,2,1,6,,6,5,,5,6,5,1,1,1,1,1,1,4,1,4,3,4,3,4,,,2,,,,,,,,,2,,,,,,,1,2,4,4,1,6,1,3,2,2,,,,4,2,2,94112,11,,,,,702,,
201711565,2017,1,1,1.779706955,2,,,,,,,,,,2,4,3,2,,,,3,3,4,2,2,3,4,6,4,3,4,4,6,2,1,2,2,5,2,5,2,1,1,4,3,2,3,2,1,1,2,2,,,,,2,2,2,,,,,,,3,1,6,3,6,2,2,3,4,1,,,,4,2,2,94103,6,,,,,5,7,100
201711566,2017,1,1,0.790762007,3,4,4,4,,4,5,,,4,4,3,1,2,,,,3,4,7,1,2,1,6,,6,5,,5,,,,,,,,,6,2,,,,,,,,1,1,1,,,,,,,2,,,,,,,5,1,5,4,7,6,2,3,4,1,,,,4,2,2,94118,2,,,,,400,401,402
201711567,2017,1,1,0.871954024,2,,,,,,,,,,2,4,4,2,,,,2,3,4,2,1,1,4,,2,5,2,,1,2,2,1,6,2,1,5,2,1,3,1,3,2,2,,,2,,,,,,,,,1,2,1,2,1,2,2,4,2,5,4,4,4,1,3,1,1,,,,4,2,2,94132,11,,,,,3,700,100
