year,zipcode,dage,dethnic,dlivedsf,deduc,dincome,movesf,ownrenhm,City,State,AvePrice,Lat,Lng
2017,94124,7,4,6,3,2,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,1,2,4,5,2,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,5,1,1,1,3,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,1,5,4,7,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,7,1,6,3,2,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,9,3,4,8,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,10,5,3,5,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,7,1,6,5,8,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,7,5,3,6,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,5,2,1,2,3,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,1,2,4,3,3,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,2,3,2,3,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,6,1,6,2,2,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,6,5,4,2,2,6,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,4,6,4,4,2,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,5,5,2,5,3,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,4,6,4,5,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,1,6,2,2,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,7,1,6,2,1,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,2,6,4,6,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,5,4,2,4,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
